date,store_nbr,transactions
2013-02-13,51,1799
2013-02-14,24,2932
2013-02-14,26,1318
2013-02-14,27,1240
2013-02-14,28,1004
2013-02-14,30,857
2013-02-14,32,844
2013-02-14,34,3158
2013-02-14,35,744
2013-02-14,51,1912
2013-02-15,24,2603
2013-02-15,26,875
2013-02-15,27,1149
2013-02-15,28,863
2013-02-15,30,690
2013-02-15,32,705
2013-02-15,34,2961
2013-02-15,35,681
2013-02-15,51,1667
2013-02-16,24,2598
2013-02-16,26,1075
2013-02-16,27,1472
2013-02-16,28,1185
2013-02-16,30,758
2013-02-16,32,980
2013-02-16,34,3121
2013-02-16,35,783
2013-02-16,51,1918
2013-02-17,24,1658
2013-02-17,26,763
2013-02-17,27,1393
2013-02-17,28,1176
2013-02-17,30,511
2013-02-17,32,678
2013-02-17,34,2409
2013-02-17,35,853
2013-02-17,51,1626
2013-02-18,24,2494
2013-02-18,26,825
2013-02-18,27,1176
2013-02-18,28,878
2013-02-18,30,681
2013-02-18,32,776
2013-02-18,34,2575
2013-02-18,35,609
2013-02-18,51,1571
2013-02-19,24,2343
2013-02-19,26,764
2013-02-19,27,1022
2013-02-19,28,884
2013-02-19,30,732
2013-02-19,32,763
2013-02-19,34,2515
2013-02-19,35,652
2013-02-19,51,1453
2013-02-20,24,2677
2013-02-20,26,813
2013-02-20,27,1138
2013-02-20,28,839
2013-02-20,30,733
2013-02-20,32,639
2013-02-20,34,2384
2013-02-20,35,553
2013-02-20,51,1688
2013-02-21,24,2362
2013-02-21,26,638
2013-02-21,27,1027
2013-02-21,28,742
2013-02-21,30,693
2013-02-21,32,661
2013-02-21,34,2336
2013-02-21,35,645
2013-02-21,51,1376
2013-02-22,24,2302
2013-02-22,26,694
2013-02-22,27,957
2013-02-22,28,701
2013-02-22,30,670
2013-02-22,32,630
2013-02-22,34,2462
2013-02-22,35,606
2013-02-22,51,1596
2013-02-23,24,2731
2013-02-23,26,933
2013-02-23,27,1497
2013-02-23,28,1118
2013-02-23,30,844
2013-02-23,32,908
2013-02-23,34,2737
2013-02-23,35,872
2013-02-23,51,1853
2013-02-24,24,1901
2013-02-24,26,793
2013-02-24,27,1523
2013-02-24,28,1326
2013-02-24,30,713
2013-02-24,32,726
2013-02-24,34,2356
2013-02-24,35,729
2013-02-24,51,1692
2013-02-25,24,2345
2013-02-25,26,804
2013-02-25,27,1120
2013-02-25,28,788
2013-02-25,30,736
2013-02-25,32,689
2013-02-25,34,2422
2013-02-25,35,678
2013-02-25,51,1519
2013-02-26,24,2281
2013-02-26,26,723
2013-02-26,27,1042
2013-02-26,28,897
2013-02-26,30,746
2013-02-26,32,655
2013-02-26,34,2352
2013-02-26,35,629
2013-02-26,51,1502
2013-02-27,24,2549
2013-02-27,26,699
2013-02-27,27,1053
2013-02-27,28,692
2013-02-27,30,703
2013-02-27,32,669
2013-02-27,34,2213
2013-02-27,35,527
2013-02-27,51,1683
2013-02-28,24,2426
2013-02-28,26,727
2013-02-28,27,1080
2013-02-28,28,931
2013-02-28,30,724
2013-02-28,32,737
2013-02-28,34,2463
2013-02-28,35,692
2013-02-28,51,1418
2013-03-01,24,2786
2013-03-01,26,1036
2013-03-01,27,1147
2013-03-01,28,950
2013-03-01,30,791
2013-03-01,32,765
2013-03-01,34,2743
2013-03-01,35,743
2013-03-01,51,1848
2013-03-02,24,2538
2013-03-02,26,1107
2013-03-02,27,1376
2013-03-02,28,1013
2013-03-02,30,663
2013-03-02,32,899
2013-03-02,34,3026
2013-03-02,35,1093
2013-03-02,51,1709
2013-03-03,24,1984
2013-03-03,26,1038
2013-03-03,27,1688
2013-03-03,28,1421
2013-03-03,30,710
2013-03-03,32,834
2013-03-03,34,2542
2013-03-03,35,872
2013-03-03,51,1963
2013-03-04,24,2392
2013-03-04,26,873
2013-03-04,27,1186
2013-03-04,28,869
2013-03-04,30,681
2013-03-04,32,707
2013-03-04,34,2628
2013-03-04,35,766
2013-03-04,51,1647
2013-03-05,24,2488
2013-03-05,26,727
2013-03-05,27,1086
2013-03-05,28,1027
2013-03-05,30,734
2013-03-05,32,674
2013-03-05,34,2532
2013-03-05,35,768
2013-03-05,51,1514
2013-03-06,24,2587
2013-03-06,26,842
2013-03-06,27,1187
2013-03-06,28,827
2013-03-06,30,707
2013-03-06,32,649
2013-03-06,34,2417
2013-03-06,35,602
2013-03-06,51,1742
2013-03-07,24,2445
2013-03-07,26,841
2013-03-07,27,1084
2013-03-07,28,824
2013-03-07,30,774
2013-03-07,32,696
2013-03-07,34,2455
2013-03-07,35,662
2013-03-07,51,1528
2013-03-08,24,2721
2013-03-08,26,964
2013-03-08,27,1164
2013-03-08,28,803
2013-03-08,30,682
2013-03-08,32,747
2013-03-08,34,2818
2013-03-08,35,666
2013-03-08,51,1698
2013-03-09,24,2530
2013-03-09,26,930
2013-03-09,27,1561
2013-03-09,28,1143
2013-03-09,30,793
2013-03-09,32,883
2013-03-09,34,2771
2013-03-09,35,929
2013-03-09,51,1783
2013-03-10,24,1950
2013-03-10,26,921
2013-03-10,27,1659
2013-03-10,28,1237
2013-03-10,30,614
2013-03-10,32,785
2013-03-10,34,2382
2013-03-10,35,802
2013-03-10,51,1627
2013-03-11,24,2477
2013-03-11,26,781
2013-03-11,27,1156
2013-03-11,28,866
2013-03-11,30,693
2013-03-11,32,675
2013-03-11,34,2532
2013-03-11,35,691
2013-03-11,51,1551
2013-03-12,24,2167
2013-03-12,26,557
2013-03-12,27,897
2013-03-12,28,787
2013-03-12,30,534
2013-03-12,32,586
2013-03-12,34,2498
2013-03-12,35,704
2013-03-12,51,1172
2013-03-13,24,2711
2013-03-13,26,770
2013-03-13,27,1208
2013-03-13,28,815
2013-03-13,30,717
2013-03-13,32,615
2013-03-13,34,2344
2013-03-13,35,529
2013-03-13,51,1749
2013-03-14,24,2286
2013-03-14,26,642
2013-03-14,27,961
2013-03-14,28,722
2013-03-14,30,633
2013-03-14,32,522
2013-03-14,34,2365
2013-03-14,35,631
2013-03-14,51,1323
2013-03-15,24,2728
2013-03-15,26,932
2013-03-15,27,1197
2013-03-15,28,923
2013-03-15,30,829
2013-03-15,32,774
2013-03-15,34,2785
2013-03-15,35,720
2013-03-15,51,1839
2013-03-16,24,2593
2013-03-16,26,1056
2013-03-16,27,1495
2013-03-16,28,1292
2013-03-16,30,756
2013-03-16,32,873
2013-03-16,34,2861
2013-03-16,35,1022
2013-03-16,51,1932
2013-03-17,24,2038
2013-03-17,26,1120
2013-03-17,27,1694
2013-03-17,28,1451
2013-03-17,30,635
2013-03-17,32,864
2013-03-17,34,2469
2013-03-17,35,884
2013-03-17,51,1652
2013-03-18,24,2507
2013-03-18,26,889
2013-03-18,27,1164
2013-03-18,28,990
2013-03-18,30,687
2013-03-18,32,720
2013-03-18,34,2682
2013-03-18,35,769
2013-03-18,51,1525
2013-03-19,24,2351
2013-03-19,26,758
2013-03-19,27,1054
2013-03-19,28,975
2013-03-19,30,719
2013-03-19,32,772
2013-03-19,34,2397
2013-03-19,35,768
2013-03-19,51,1444
2013-03-20,24,2769
2013-03-20,26,933
2013-03-20,27,1280
2013-03-20,28,861
2013-03-20,30,659
2013-03-20,32,701
2013-03-20,34,2430
2013-03-20,35,650
2013-03-20,51,1734
2013-03-21,24,2435
2013-03-21,26,789
2013-03-21,27,1102
2013-03-21,28,869
2013-03-21,30,745
2013-03-21,32,664
2013-03-21,34,2326
2013-03-21,35,642
2013-03-21,51,1438
2013-03-22,24,2587
2013-03-22,26,889
2013-03-22,27,1142
2013-03-22,28,778
2013-03-22,30,687
2013-03-22,32,647
2013-03-22,34,2611
2013-03-22,35,644
2013-03-22,51,1676
2013-03-23,24,2488
2013-03-23,26,1036
2013-03-23,27,1558
2013-03-23,28,1101
2013-03-23,30,624
2013-03-23,32,829
2013-03-23,34,2767
2013-03-23,35,879
2013-03-23,51,1767
2013-03-24,24,2068
2013-03-24,26,1019
2013-03-24,27,1680
2013-03-24,28,1192
2013-03-24,30,634
2013-03-24,32,709
2013-03-24,34,2321
2013-03-24,35,694
2013-03-24,51,1731
2013-03-25,24,2505
2013-03-25,26,776
2013-03-25,27,1158
2013-03-25,28,832
2013-03-25,30,755
2013-03-25,32,671
2013-03-25,34,2583
2013-03-25,35,724
2013-03-25,51,1511
2013-03-26,24,2311
2013-03-26,26,650
2013-03-26,27,1093
2013-03-26,28,860
2013-03-26,30,739
2013-03-26,32,732
2013-03-26,34,2261
2013-03-26,35,727
2013-03-26,51,1509
2013-03-27,24,2543
2013-03-27,26,665
2013-03-27,27,1128
2013-03-27,28,720
2013-03-27,30,654
2013-03-27,32,627
2013-03-27,34,2391
2013-03-27,35,504
2013-03-27,51,1680
2013-03-28,24,2645
2013-03-28,26,865
2013-03-28,27,1180
2013-03-28,28,928
2013-03-28,30,731
2013-03-28,32,775
2013-03-28,34,2942
2013-03-28,35,522
2013-03-28,51,1709
2013-03-29,24,1803
2013-03-29,26,851
2013-03-29,27,1479
2013-03-29,28,1111
2013-03-29,30,605
2013-03-29,32,812
2013-03-29,34,2402
2013-03-29,35,817
2013-03-29,51,1567
2013-03-30,24,2112
2013-03-30,26,952
2013-03-30,27,1521
2013-03-30,28,1087
2013-03-30,30,638
2013-03-30,32,869
2013-03-30,34,2312
2013-03-30,35,868
2013-03-30,51,1568
2013-03-31,24,1724
2013-03-31,26,964
2013-03-31,27,1527
2013-03-31,28,1246
2013-03-31,30,603
2013-03-31,32,760
2013-03-31,34,2227
2013-03-31,35,586
2013-03-31,51,1595
2013-04-01,24,2575
2013-04-01,26,979
2013-04-01,27,1250
2013-04-01,28,964
2013-04-01,30,707
2013-04-01,32,774
2013-04-01,34,2557
2013-04-01,35,637
2013-04-01,51,1663
2013-04-02,24,2444
2013-04-02,26,855
2013-04-02,27,1143
2013-04-02,28,1080
2013-04-02,30,739
2013-04-02,32,748
2013-04-02,34,2555
2013-04-02,35,609
2013-04-02,51,1574
2013-04-03,24,2719
2013-04-03,26,850
2013-04-03,27,1179
2013-04-03,28,910
2013-04-03,30,716
2013-04-03,32,670
2013-04-03,34,2464
2013-04-03,35,505
2013-04-03,51,1817
2013-04-04,24,2320
2013-04-04,26,784
2013-04-04,27,1100
2013-04-04,28,967
2013-04-04,30,772
2013-04-04,32,737
2013-04-04,34,2485
2013-04-04,35,510
2013-04-04,51,1515
2013-04-05,24,2553
2013-04-05,26,728
2013-04-05,27,1121
2013-04-05,28,840
2013-04-05,30,674
2013-04-05,32,640
2013-04-05,34,2567
2013-04-05,35,521
2013-04-05,51,1647
2013-04-06,24,2504
2013-04-06,26,987
2013-04-06,27,1468
2013-04-06,28,1119
2013-04-06,30,702
2013-04-06,32,794
2013-04-06,34,2763
2013-04-06,35,605
2013-04-06,51,1852
2013-04-07,24,1936
2013-04-07,26,956
2013-04-07,27,1593
2013-04-07,28,1298
2013-04-07,30,652
2013-04-07,32,772
2013-04-07,34,2412
2013-04-07,35,634
2013-04-07,51,1776
2013-04-08,24,2475
2013-04-08,26,786
2013-04-08,27,1204
2013-04-08,28,970
2013-04-08,30,686
2013-04-08,32,720
2013-04-08,34,2481
2013-04-08,35,572
2013-04-08,51,1570
2013-04-09,24,2312
2013-04-09,26,728
2013-04-09,27,1058
2013-04-09,28,985
2013-04-09,30,701
2013-04-09,32,664
2013-04-09,34,2521
2013-04-09,35,547
2013-04-09,51,1494
2013-04-10,24,2498
2013-04-10,26,766
2013-04-10,27,1179
2013-04-10,28,819
2013-04-10,30,587
2013-04-10,32,591
2013-04-10,34,2251
2013-04-10,35,469
2013-04-10,51,1639
2013-04-11,24,2365
2013-04-11,26,657
2013-04-11,27,1026
2013-04-11,28,954
2013-04-11,30,740
2013-04-11,32,684
2013-04-11,34,2355
2013-04-11,35,494
2013-04-11,51,1539
2013-04-12,24,2523
2013-04-12,26,833
2013-04-12,27,1137
2013-04-12,28,872
2013-04-12,30,724
2013-04-12,32,656
2013-04-12,34,2542
2013-04-12,35,505
2013-04-12,51,1638
2013-04-13,24,2467
2013-04-13,26,1057
2013-04-13,27,1469
2013-04-13,28,1279
2013-04-13,30,789
2013-04-13,32,855
2013-04-13,34,2789
2013-04-13,35,737
2013-04-13,51,1913
2013-04-14,24,1932
2013-04-14,26,1025
2013-04-14,27,1553
2013-04-14,28,1360
2013-04-14,30,629
2013-04-14,32,760
2013-04-14,34,2513
2013-04-14,35,643
2013-04-14,51,1748
2013-04-15,24,2478
2013-04-15,26,884
2013-04-15,27,1124
2013-04-15,28,951
2013-04-15,30,673
2013-04-15,32,684
2013-04-15,34,2549
2013-04-15,35,598
2013-04-15,51,1629
2013-04-16,24,2367
2013-04-16,26,864
2013-04-16,27,1012
2013-04-16,28,1033
2013-04-16,30,658
2013-04-16,32,714
2013-04-16,34,2553
2013-04-16,35,692
2013-04-16,51,1535
2013-04-17,24,2650
2013-04-17,26,931
2013-04-17,27,1235
2013-04-17,28,956
2013-04-17,30,699
2013-04-17,32,704
2013-04-17,34,2397
2013-04-17,35,537
2013-04-17,51,1733
2013-04-18,24,2226
2013-04-18,26,703
2013-04-18,27,1021
2013-04-18,28,841
2013-04-18,30,672
2013-04-18,32,660
2013-04-18,34,2482
2013-04-18,35,521
2013-04-18,51,1520
2013-04-19,24,2544
2013-04-19,26,787
2013-04-19,27,1103
2013-04-19,28,844
2013-04-19,30,641
2013-04-19,32,706
2013-04-19,34,2693
2013-04-19,35,500
2013-04-19,51,1705
2013-04-20,24,2621
2013-04-20,26,1013
2013-04-20,27,1443
2013-04-20,28,1215
2013-04-20,30,795
2013-04-20,32,784
2013-04-20,34,2996
2013-04-20,35,656
2013-04-20,51,1900
2013-04-21,24,1891
2013-04-21,26,954
2013-04-21,27,1637
2013-04-21,28,1341
2013-04-21,30,649
2013-04-21,32,769
2013-04-21,34,2558
2013-04-21,35,624
2013-04-21,51,1829
2013-04-22,24,2334
2013-04-22,26,774
2013-04-22,27,1118
2013-04-22,28,933
2013-04-22,30,697
2013-04-22,32,688
2013-04-22,34,2596
2013-04-22,35,572
2013-04-22,51,1524
2013-04-23,24,2317
2013-04-23,26,702
2013-04-23,27,1067
2013-04-23,28,949
2013-04-23,30,646
2013-04-23,32,688
2013-04-23,34,2439
2013-04-23,35,504
2013-04-23,51,1498
2013-04-24,24,2446
2013-04-24,26,720
2013-04-24,27,1127
2013-04-24,28,815
2013-04-24,30,661
2013-04-24,32,619
2013-04-24,34,2109
2013-04-24,35,476
2013-04-24,51,1619
2013-04-25,24,2286
2013-04-25,26,723
2013-04-25,27,1039
2013-04-25,28,904
2013-04-25,30,670
2013-04-25,32,656
2013-04-25,34,2297
2013-04-25,35,511
2013-04-25,51,1482
2013-04-26,24,2530
2013-04-26,26,729
2013-04-26,27,1092
2013-04-26,28,814
2013-04-26,30,658
2013-04-26,32,613
2013-04-26,34,2597
2013-04-26,35,508
2013-04-26,51,1637
2013-04-27,24,2310
2013-04-27,26,922
2013-04-27,27,1549
2013-04-27,28,1186
2013-04-27,30,713
2013-04-27,32,801
2013-04-27,34,2695
2013-04-27,35,611
2013-04-27,51,1909
2013-04-28,24,1820
2013-04-28,26,896
2013-04-28,27,1620
2013-04-28,28,1250
2013-04-28,30,607
2013-04-28,32,754
2013-04-28,34,2368
2013-04-28,35,585
2013-04-28,51,1861
2013-04-29,24,2359
2013-04-29,26,762
2013-04-29,27,1112
2013-04-29,28,902
2013-04-29,30,643
2013-04-29,32,646
2013-04-29,34,2541
2013-04-29,35,490
2013-04-29,51,1491
2013-04-30,24,2296
2013-04-30,26,731
2013-04-30,27,1075
2013-04-30,28,939
2013-04-30,30,735
2013-04-30,32,644
2013-04-30,34,2398
2013-04-30,35,555
2013-04-30,51,1543
2013-05-01,24,2378
2013-05-01,26,1133
2013-05-01,27,1770
2013-05-01,28,1398
2013-05-01,30,685
2013-05-01,32,738
2013-05-01,34,2452
2013-05-01,35,593
2013-05-01,51,2156
2013-05-02,24,2379
2013-05-02,26,800
2013-05-02,27,1105
2013-05-02,28,970
2013-05-02,30,714
2013-05-02,32,722
2013-05-02,34,2384
2013-05-02,35,616
2013-05-02,51,1645
2013-05-03,24,2527
2013-05-03,26,813
2013-05-03,27,1096
2013-05-03,28,852
2013-05-03,30,661
2013-05-03,32,676
2013-05-03,34,2500
2013-05-03,35,557
2013-05-03,51,1822
2013-05-04,24,2570
2013-05-04,26,1051
2013-05-04,27,1448
2013-05-04,28,1234
2013-05-04,30,772
2013-05-04,32,905
2013-05-04,34,2841
2013-05-04,35,700
2013-05-04,51,2103
2013-05-05,24,2062
2013-05-05,26,1204
2013-05-05,27,1722
2013-05-05,28,1690
2013-05-05,30,735
2013-05-05,32,875
2013-05-05,34,2764
2013-05-05,35,649
2013-05-05,51,2157
2013-05-06,24,2353
2013-05-06,26,814
2013-05-06,27,1151
2013-05-06,28,985
2013-05-06,30,671
2013-05-06,32,724
2013-05-06,34,2398
2013-05-06,35,519
2013-05-06,51,1690
2013-05-07,24,2355
2013-05-07,26,686
2013-05-07,27,1071
2013-05-07,28,1048
2013-05-07,30,696
2013-05-07,32,715
2013-05-07,34,2238
2013-05-07,35,556
2013-05-07,51,1509
2013-05-08,24,2562
2013-05-08,26,687
2013-05-08,27,1114
2013-05-08,28,779
2013-05-08,30,655
2013-05-08,32,606
2013-05-08,34,2125
2013-05-08,35,478
2013-05-08,51,1799
2013-05-09,24,2322
2013-05-09,26,696
2013-05-09,27,1124
2013-05-09,28,826
2013-05-09,30,717
2013-05-09,32,680
2013-05-09,34,2249
2013-05-09,35,427
2013-05-09,36,2586
2013-05-09,51,1599
2013-05-10,24,2757
2013-05-10,26,767
2013-05-10,27,1067
2013-05-10,28,826
2013-05-10,30,682
2013-05-10,32,682
2013-05-10,34,2549
2013-05-10,35,471
2013-05-10,36,1744
2013-05-10,51,1955
2013-05-11,24,3075
2013-05-11,26,1275
2013-05-11,27,1730
2013-05-11,28,1338
2013-05-11,30,906
2013-05-11,32,918
2013-05-11,34,3388
2013-05-11,35,609
2013-05-11,36,2015
2013-05-11,51,2750
2013-05-12,24,1886
2013-05-12,26,1174
2013-05-12,27,1719
2013-05-12,28,1431
2013-05-12,30,734
2013-05-12,32,890
2013-05-12,34,2376
2013-05-12,35,596
2013-05-12,36,2388
2013-05-12,51,1977
2013-05-13,24,2334
2013-05-13,26,709
2013-05-13,27,1139
2013-05-13,28,924
2013-05-13,30,663
2013-05-13,32,667
2013-05-13,34,2402
2013-05-13,35,510
2013-05-13,36,1365
2013-05-13,51,1579
2013-05-14,24,2327
2013-05-14,26,660
2013-05-14,27,1043
2013-05-14,28,981
2013-05-14,30,668
2013-05-14,32,633
2013-05-14,34,2226
2013-05-14,35,501
2013-05-14,36,1254
2013-05-14,51,1611
2013-05-15,24,2608
2013-05-15,26,775
2013-05-15,27,1187
2013-05-15,28,878
2013-05-15,30,630
2013-05-15,32,649
2013-05-15,34,2096
2013-05-15,35,480
2013-05-15,36,1073
2013-05-15,51,1735
2013-05-16,24,2246
2013-05-16,26,746
